22/04/2019 16:20:55 DEBUG [Thread-1  ] ExecutorTarefa                                     run                            - Iniciando produto: CTAS_DESMAT .
22/04/2019 16:22:50 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:52 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (5).zip .
22/04/2019 16:22:52 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:52 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:52 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (5)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:52 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:53 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:53 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (5).zip foi processado
22/04/2019 16:22:53 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:53 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162253234.txt
22/04/2019 16:22:53 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:53 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:53 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:54 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (6).zip .
22/04/2019 16:22:54 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:54 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
